filename,fits_file,hip,instrument,url,status
HIP16537_FEROS_1_R42KNorm.fits.gz,HIP16537_FEROS_1_R42KNorm.fits,HIP16537,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16537_FEROS_1_R42KNorm.fits.gz,downloaded
HIP16537_HARPS_1_R42KNorm.fits.gz,HIP16537_HARPS_1_R42KNorm.fits,HIP16537,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16537_HARPS_1_R42KNorm.fits.gz,downloaded
HIP16537_NARVAL_1_R42KNorm.fits.gz,HIP16537_NARVAL_1_R42KNorm.fits,HIP16537,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16537_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP16537_UVES_1_R42KNorm.fits.gz,HIP16537_UVES_1_R42KNorm.fits,HIP16537,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16537_UVES_1_R42KNorm.fits.gz,downloaded
HIP16852_FEROS_1_R42KNorm.fits.gz,HIP16852_FEROS_1_R42KNorm.fits,HIP16852,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16852_FEROS_1_R42KNorm.fits.gz,downloaded
HIP16852_NARVAL_1_R42KNorm.fits.gz,HIP16852_NARVAL_1_R42KNorm.fits,HIP16852,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16852_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP16852_UVES_1_R42KNorm.fits.gz,HIP16852_UVES_1_R42KNorm.fits,HIP16852,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP16852_UVES_1_R42KNorm.fits.gz,downloaded
HIP1686_HERMES_1_R42KNorm.fits.gz,HIP1686_HERMES_1_R42KNorm.fits,HIP1686,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP1686_HERMES_1_R42KNorm.fits.gz,downloaded
HIP17086_HARPS_1_R42KNorm.fits.gz,HIP17086_HARPS_1_R42KNorm.fits,HIP17086,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17086_HARPS_1_R42KNorm.fits.gz,downloaded
HIP17086_HERMES_1_R42KNorm.fits.gz,HIP17086_HERMES_1_R42KNorm.fits,HIP17086,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17086_HERMES_1_R42KNorm.fits.gz,downloaded
HIP171_UVES_1_R42KNorm.fits.gz,HIP171_UVES_1_R42KNorm.fits,HIP171,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP171_UVES_1_R42KNorm.fits.gz,downloaded
HIP17147_FEROS_1_R42KNorm.fits.gz,HIP17147_FEROS_1_R42KNorm.fits,HIP17147,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17147_FEROS_1_R42KNorm.fits.gz,downloaded
HIP17147_HARPS_1_R42KNorm.fits.gz,HIP17147_HARPS_1_R42KNorm.fits,HIP17147,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17147_HARPS_1_R42KNorm.fits.gz,downloaded
HIP17147_NARVAL_1_R42KNorm.fits.gz,HIP17147_NARVAL_1_R42KNorm.fits,HIP17147,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17147_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP17147_UVES_1_R42KNorm.fits.gz,HIP17147_UVES_1_R42KNorm.fits,HIP17147,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17147_UVES_1_R42KNorm.fits.gz,downloaded
HIP17378_FEROS_1_R42KNorm.fits.gz,HIP17378_FEROS_1_R42KNorm.fits,HIP17378,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17378_FEROS_1_R42KNorm.fits.gz,downloaded
HIP17378_NARVAL_1_R42KNorm.fits.gz,HIP17378_NARVAL_1_R42KNorm.fits,HIP17378,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17378_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP17595_HARPS_1_R42KNorm.fits.gz,HIP17595_HARPS_1_R42KNorm.fits,HIP17595,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17595_HARPS_1_R42KNorm.fits.gz,downloaded
HIP17595_HERMES_1_R42KNorm.fits.gz,HIP17595_HERMES_1_R42KNorm.fits,HIP17595,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP17595_HERMES_1_R42KNorm.fits.gz,downloaded
